Airliner_code,Airliner_name,Airliner_RT
GNL ,135 Airways ,GENERAL 
WYT ,2 Sqn No 1 Elementary Flying Training School ,WYTON 
TFU ,213th Flight Unit ,THJY 
CHD ,223rd Flight Unit ,CHKALOVSK-AVIA 
TTF ,224th Flight Unit ,CARGO UNIT 
TWF ,247 Jet Ltd ,CLOUD RUNNER 
SEC ,3D Aviation ,SECUREX 
MLA ,40-Mile Air ,MILE-AIR 
QRT ,4D Air ,QUARTET 
PIU ,43 Air School ,PRIMA 
AIJ ,Interjet ,ABC Aerolineas 
RYA ,Ryan Air Services ,RYAN AIR 
BRO ,2Excel Aviation ,BROADSWORD 
PSC ,Pascan Aviation ,PASCAN 
WSN ,Advanced Air ,WINGSPAN 
GBT ,A-Jet Aviation Aircraft Management ,GLOBETROTTER 
AJR ,A-Jet Aviation Company ,JET MONGOLIA 
SFM ,A-Safar Air Services ,AIR SAFAR 
AJJ ,A2 Jet Leasing ,ATLANTIC JET 
LEP ,Air Costa ,LECOSTA 
NKP ,Abakan Air ,ABAKAN AIR 
OWN ,Aero Owen ,AERO OWEN 
ASR ,Aero Sotravia ,SOTRAVIA 
ARH ,Aerohelicopteros ,AEROHELCA 
VMX ,Aeroventas de Mexico ,VENTA 
ATW ,Air Antwerp ,DEVIL 
FSY ,Algonquin Airlink ,FROSTY 
TTX ,Alliance Air Charters ,TWISTER 
ALN ,Alpha Jet ,TOLEMAC 
UJX ,Atlas Ukraine Airlines ,ATLAS UKRAINE 
RGR ,Avior Regional ,AVIOR REGIONAL 
NGF ,Air Charity Network ,ANGEL FLIGHT 
WFT ,Aircharters Worldwide ,WORLD FLIGHT 
ATT ,Attawasol Airlines ,ATTAWASOL AIR 
EDY ,Apollo Air Service ,STOBART 
IWY ,InterCaribbean Airways ,ISLANDWAYS 
ASL ,Air Serbia ,AIR SERBIA 
LYN ,Air Kyrgyzstan ,ALTYN AVIA 
CCM ,Air Corsica ,CORSICA 
AHS ,AHS Air International ,HIGH SKY 
ROO ,Aero Roa ,AERO ROA 
SUP ,Aeronautical Charters ,SUN SPEED 
PSO ,Aerotaxis Pegaso ,AEROPEGASO 
EIN ,Aer Lingus ,SHAMROCK 
VLB ,Air Volta ,VOLTA 
FCJ ,AirSprint US ,FRACJET 
TEW ,Airteam Charter ,TEAMWORK 
STT ,Alpha Star Charter ,STAR CHARTER 
HEZ ,Arrow Aviation ,ARROW 
DRO ,Adro Servicios Aereos ,ADRO SERVICIOS 
RVQ ,Aero Jet International ,REVA AIR 
ASK ,Aerosky ,MULTISKY 
AEH ,Aero4m ,AEROCUTTER 
ERO ,Aeroecom ,AEROECOM 
XAU ,Aerolink Uganda ,PEARL 
NKY ,Aeromonkey ,AEROMON 
AGA ,AG Air ,GEOLINE 
